item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel
Code Hacking: A Developer's Guide To Network Security (Charles River Media Ne...		1002IER3GGF	1008	27.1	1	2011-10-01 21:31:55 PDT		y	2		Good reading copy with very little notes. Ex-Library biiok with usual markings. CD NOT INCLUDED! Fast Shipping! Ships within 24 hours!! 100% Satisfaction Guaranteed!	3				1584503149			1	Domestic		1584503149			0	DEFAULT
Beginning to Read: Thinking and Learning About Print by Adams, Marilyn Jager		0417IU1LXHX	101	4.99	1	2011-04-16 19:30:09 PDT		y	2		100% Satisfaction Guaranteed! Fast Shipping! Ships within 24 hours!	1				0262011123			2	Domestic,Second		0262011123			0	DEFAULT
How to Think Ahead in Chess: The Methods and Techniques of Planning Your Enti...		1002IER3HYL	1012	4.99	1	2011-10-01 21:32:10 PDT		y	2		Very nice copy that looks unused but has slight edge and corner wear from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0671211382			1	Domestic		0671211382			0	DEFAULT
The Weimar Republic: The Crisis of Classical Modernity by Peukert, Detlev J. K.		1004IGDJR6F	1016	10.75	1	2011-10-04 14:13:11 PDT		y	2		Gently read with clean pages and tight spine. Dust jacket has slight edge wear. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0809096749			1	Domestic		0809096749			0	DEFAULT
AGS United States Government Teacher's Edition [Spiral-bound]		1004IGDJRJR	1017	19.98	1	2011-10-04 14:13:13 PDT		y	2		Book looks unused with clean pages. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0785408843			1	Domestic		0785408843			0	DEFAULT
JavaScript: A Beginner's Guide by Pollock, John		1004IGDJSAF	1018	18.66	1	2011-10-04 14:13:14 PDT		y	2		Book looks unused - clean pages and tight spine. Has a remainder mark on bottom edge. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0072131403			1	Domestic		0072131403			0	DEFAULT
The Ultimate Frozen Dessert Book: A Complete Guide to Gelato, Sherbert, Grani...		1004IGDJSUF	1019	4.99	1	2011-10-04 14:13:17 PDT		y	2		Gently read with clean pages and tight spine. Almost "Like New"but back cover has a small crease on lower rightFast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0060597070			1	Domestic		0060597070			0	DEFAULT
Identifying Commercial Airplanes (Identifying Guide) by Lee, David		1004IGDJUU3	1022	24.95	1	2011-10-04 14:13:25 PDT		y	2		Book looks unused - clean pages and tight spine. Dust jacket has a small 1/8" tear at bottom of spine. Inscription on inside of header page. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0785810196			1	Domestic		0785810196			0	DEFAULT
The First Thousand Words in Russian (Usborne First Thousand Words) (Russian E...		1010IKGBSQF	1025	19.88	1	2011-10-10 14:46:09 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0860207692			1	N		0860207692			0	DEFAULT
Classic English Interiors by Spencer-Churchill, Henrietta		1010IKGBTYL	1026	43.88	1	2011-10-10 14:46:13 PDT		y	2		Book looks new - clean pages and tight spine. Dust jacket has a small 1/2" tear on bottom left on backside. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0847815706			1	N		0847815706			0	DEFAULT
Going Against the Wind: A Pictorial History of African-Americans in Atlanta		1010IKGBUNL	1027	79.88	1	2011-10-10 14:46:15 PDT		y	2		Inscribed and signed by the author on header page. Book looks new - clean pages and tight spine. First printing. Dust jacket has a small 1/2" tear on back. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1563520613			1	N		1563520613			0	DEFAULT
Creating a Room: A Designer's Guide to Decorating Your Home in Stages		1010IKGBVGR	1028	7.95	1	2011-10-10 14:46:18 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0670847992			1	N		0670847992			0	DEFAULT
Closing the Leadership Gap: How District and University Partnerships Shape Ef...		0417IU1LXRX	103	15	1	2011-04-16 19:30:14 PDT		y	2		Cover has very slight corner curl from storage and handling. 100% Satisfaction Guaranteed! Fast Shipping! Ships within 24 hours!	11				1412936756			1	Domestic		9781412936750			0	DEFAULT
In Our Times: America Since World War II (7th Edition) [Paperback]		1010IKGBXDX	1031	29.94	1	2011-10-10 14:46:25 PDT		y	2		Gently read with clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0130996483			1	Domestic		0130996483			0	DEFAULT
Honk, Honk, Rattle, Rattle: 25 Songs and Over 250 Activities for Young Childr...		1014ING6MMR	1032	11.48	1	2011-10-14 14:59:54 PDT		y	2		Clean unmarked pages. CD still sealed. Very slight corner bumps from storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0876590180			1	Domestic		0876590180			0	DEFAULT
Easy-to-Make Books That Target Specific Reading Needs: Templates, Easy How-to...		1014ING6MV3	1033	7.55	1	2011-10-14 14:59:56 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0439438292			1	Domestic		0439438292			0	DEFAULT
Scott Foresman - Addison Wesley Math [Paperback]		1014ING6OE3	1035	22.88	1	2011-10-14 14:59:59 PDT		y	2		Book looks unused - clean pages and tight spine. Paperback edition has slight edge wear from storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0328021784			1	Domestic		0328021784			0	DEFAULT
Classroom Strategies for Interactive Learning [Paperback] by Doug Buehl		1016IO0S2JX	1038	4.99	3	2011-10-15 21:44:18 PDT		y	2		NEW - still factory sealed in cellophane. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0872072843			1	Domestic		0872072843			0	DEFAULT
Weather and Climate (Prentice Hall Science Explorer) [Hardcover]; Cyr, Martha		1016IO0S3JR	1039	3.99	1	2011-10-15 21:45:16 PDT		y	2		Book looks unused - clean pages and tight spine. Cover does have slight shelf scuffing. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0130540854			1	Domestic		0130540854			0	DEFAULT
Mentoring New Special Education Teachers: A Guide for Mentors and Program Dev...		0417IU1LXTL	104	7.5	1	2011-04-16 19:30:16 PDT		y	2		Clean pages and tight spine; slight curling from storage and handling. Fast Shipping! 100% Satisfaction Guaranteed!	2				0761931341			2	Domestic,Second		0761931341			0	DEFAULT
Biology Study Guide: by Taylor, Martha R.		1016IO0SER3	1043	56.24	1	2011-10-15 21:46:16 PDT		y	2		Shelf copy with slight corner bumps from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0805365583			1	N		0805365583			0	DEFAULT
Fundamental Statistics for the Behavioral Sciences by McCall, Robert B.		1016IO0SFA9	1044	34.88	1	2011-10-15 21:46:39 PDT		y	2		Gently read with clean pages and tight spine. Cover has slight shelf scuffing. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0534511503			1	Domestic		0534511503			0	DEFAULT
Brand Valuation by Interbrand; Perrier, Raymond; Stobart, Paul		1016IO0SFLX	1045	40.45	1	2011-10-15 21:46:43 PDT		y	2		Gently read with clean pages and tight spine. Dust jacket has slight edge wear. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1900617005			1	Domestic		1900617005			0	DEFAULT
GLOBE FEARON BE A BETTER READER LEVEL C STUDENT EDITION 2003C [Paperback]		1016IO0SFV3	1046	5.99	1	2011-10-15 21:46:44 PDT		y	2		Book looks unused - clean pages and tight spine. Cover has very slight curl and there is very slight corner fluffing from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0130238600			1	Domestic		0130238600			0	DEFAULT
Creative Children's Parties [Paperback] by Boteler, Alison		1016IO0SLK3	1047	3.99	1	2011-10-15 21:46:46 PDT		y	2		Book looks unused - clean pages and tight spine. The cover and corners do have some edge wear. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0764108816			1	Domestic		0764108816			0	DEFAULT
Mayas * Aztecs * Incas: All-in-One Resource With Background Information, Map ...		1016IO0SNH9	1049	7.59	1	2011-10-15 21:47:28 PDT		y	2		Book looks unused - clean pages and tight spine. There is a name written on cover. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0439539943			1	Domestic		0439539943			0	DEFAULT
Effective Business Communications by Murphy, Herta A; Hildebrandt, Herbert W		1016IO0SPQX	1050	39.95	1	2011-10-15 21:47:37 PDT		y	2		Book looks unused - clean pages and tight spine. There is slight edge and corner wear from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				007044398X			1	Domestic		007044398X			0	DEFAULT
Illinois School Law Survey by Braun, Brian A.		1016IO0SUBX	1051	60.24	1	2011-10-15 21:47:53 PDT		y	2		Very slight corner bumps from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				1880331160			1	Domestic		1880331160			0	DEFAULT
Failure Is Not an Option(TM): Six Principles That Guide Student Achievement i...		1016IO0SW2F	1053	4.99	1	2011-10-15 21:48:25 PDT		y	2		Book looks unused - clean pages and tight spine. There is slight edge wear and corner bumps from storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1412909341			1	Domestic		1412909341			0	DEFAULT
Enhancing Organizational Performance [Hardcover]; National Research Council		1016IO0T70L	1054	14.65	1	2011-10-15 21:48:31 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0309053978			1	Domestic		0309053978			0	DEFAULT
The Jewish Experience [Paperback] by Jay A. Holstein		1016IO0T82X	1055	9.25	1	2011-10-15 21:49:39 PDT		y	2		Book looks unused - clean pages and tight spine. Cover has a small crease upper right and there are slight corner bumps from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0808751336			1	Domestic		0808751336			0	DEFAULT
Policy Analysis for the Real World by Hogwood, Brian W.; Gunn, Lewis A.		1016IO0T8R3	1056	31.88	1	2011-10-15 21:49:47 PDT		y	2		Book looks unused - clean pages and tight spine. There are slight corner bumps from storage and handling. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0198761848			1	Domestic		0198761848			0	DEFAULT
The Ancient World (Prentice Hall World Explorer) [Hardcover]; Randolph, Brenda		1021IS8M9IL	1057	9.95	1	2011-10-21 14:21:29 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0130629995			1	Domestic		0130629995			0	DEFAULT
Folding the Universe: Origami From Angelfish to Zen by Engel, Peter		1021IS8MA7L	1058	6.99	1	2011-10-21 14:21:32 PDT		y	2		Gently read with clean pages and tight spine. Cover has a small crease lower right. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0394757513			1	N		0394757513			0	DEFAULT
Lickety-Split Quilts: Fast Projects From Big Blocks [Paperback] by Bevan, Laurie		1021IS8MARL	1059	10.99	1	2011-10-21 14:21:33 PDT		y	2		Book looks unused - clean pages and tight spine. Very slight edge wear. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1564775518			1	Domestic		1564775518			0	DEFAULT
Strauss: Also Sprach Zarathustra; Ein Heldenleben (RCA Victor Basic 100, Vol....		0516I9JJZAR	105CD	4.99	1	2011-05-16 13:38:01 PDT		y	1		Fast Shipping - Ships within 24 hours!  100% Satisfaction Guaranteed!	2				B000003FHN			2	Domestic		B000003FHN			0	DEFAULT
U. S. Air Force Special Ops (Power) by Pushies, Fred		1021IS8MBHF	1060	6.99	1	2011-10-21 14:21:35 PDT		y	2		Very clean Ex-Library book with usual stamps and markings. Cover has a crease lower right. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	3				0760307334			1	Domestic		0760307334			0	DEFAULT
Keys to Success in College and Life, 2nd Edition by Curtis Zimmerman; Will Keim		1021IS8MC1F	1061	6.99	1	2011-10-21 14:21:37 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	3				0963183486			2	Domestic		9780963183484			0	DEFAULT
Heading Home with Your Newborn: From Birth to Reality [Paperback]		1021IS8ME4F	1063	6.77	1	2011-10-21 14:21:41 PDT		y	2		Book looks unused - clean pages and tight spine. There is one dog eared page. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1581104448			1	Domestic		9781581104448			0	DEFAULT
The Ant and the Elephant: Leadership For the Self [Hardcover] by Poscente, Vince		1021IS8MF0X	1064	7.55	1	2011-10-21 14:21:44 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				1893430146			2	Domestic		1893430146			0	DEFAULT
Whitetail Behavior Through the Seasons by Alsheimer, Charles J.		1027IWRMRDF	1066	49.95	1	2011-10-27 16:06:53 PDT		y	2		Book looks unused - clean pages and tight spine. Dust jacket has slight shelf scuffing. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0873414497			1	N		0873414497			0	DEFAULT
Severe and Hazardous Weather by Rauber, Robert M.; Charlevoix, Donna J.		1027IWRMSN9	1067	9.88	1	2011-10-27 16:06:55 PDT		y	2		Clean pages and sealed CD included; Right upper and lower corners have a big corner bump affecting the corners of first 50 pages. Some edge wear on spine and cover. Cover has a few small creases. Fast Shipping! 100% Satisfaction Guaranteed!	3				0787294195			1	N		0787294195			0	DEFAULT
Earth: An Introduction to Physical Geology (With CD-ROM) by Tarbuck, Edward J.		1027IWRMUMX	1068	4.99	1	2011-10-27 16:06:57 PDT		y	2		Clean pages and sealed CD included. Good usable copy but book and spine have a bend due to improper storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	4				0130920258			1	N		0130920258			0	DEFAULT
Mathematics for Elementary Teachers: A Contemporary Approach, Sixth Edition		1027IWRMW3F	1069	4.99	1	2011-10-27 16:07:00 PDT		y	2		Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0471164259			1	N		0471164259			0	DEFAULT
Rossini: Overtures [Audio CD] Rossini, Gioachino; Riccardo Chailly		0516I9JLHZ3	106CD	5.69	1	2011-05-16 13:44:04 PDT		y	1		Fast Shipping - Ships within 24 hours!  100% Satisfaction Guaranteed!	1				B00000425N			2	Domestic		B00000425N			0	DEFAULT
A Guide to the Project Management Body of Knowledge, Third Edition (PMBOK Gui...		1027IWRN6U3	1071	4.99	1	2011-10-27 16:07:04 PDT		y	2		Gently read with clean pages and tight spine. There is slight corner fluffing and a bump/scrape on the upper spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				193069945X			1	N		193069945X			0	DEFAULT
Midwest Marvels: Roadside Attractions across Iowa, Minnesota, the Dakotas, an...		1027IWRN8AL	1072	9.66	1	2011-10-27 16:07:19 PDT		y	2		Book looks unused - clean pages and tight spine. But there is a very slight bend in the book from improper storage. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0816642907			1	N		0816642907			0	DEFAULT
The Great Lakes Diving Guide Second Edition by Cris Kohl		1027IWRN95F	1073	21.45	1	2011-10-27 16:07:21 PDT		y	2		Autographed copy. Book looks unused - clean pages and tight spine. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0967997690			1	Domestic		9780967997698			0	DEFAULT
The Ginger Kid: The Buck Weaver Story by Stein, Irving M.		1027IWRNBXF	1075	22.48	1	2011-10-27 16:07:26 PDT		y	2		Gently read; Clean pages; Incription on header pages. Full number line shown. Dust jacket has some edge wear Fast Shipping! 100% Satisfaction Guaranteed!	2				0697162761			1	Domestic		0697162761			0	DEFAULT
The Big Book of Team Building Games: Trust-Building Activities, Team Spirit E...		1027IWRNFJF	1076	7.88	1	2011-10-27 16:07:27 PDT		y	2		Book looks unused - clean pages and tight spine. Very slight corner fluffing. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	1				0070465134			1	Domestic		0070465134			0	DEFAULT
The Big Book of Business Games: Icebreakers, Creativity Exercises and Meeting...		1027IWRNHLL	1077	5.95	1	2011-10-27 16:07:33 PDT		y	2		Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0070464766			1	Domestic		0070464766			0	DEFAULT
Keep Climbing: How I Beat Cancer and Reached the Top of the World [Paperback]		1027IWRNJ73	1078	9.59	1	2011-10-27 16:07:37 PDT		y	2		Signed by author. Full number line. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	11				0743292065			1	Domestic		0743292065			0	DEFAULT
Gateway to Science: Vocabulary and Concepts [Hardcover] by Collins, Tim		0417IU1LYB3	108	13.35	2	2011-04-16 19:30:26 PDT		y	2		Cover has slight shelf rub from storage and handling. 100% Satisfaction Guaranteed! Fast Shipping! Ships within 24 hours!	11				1424003318			1	Domestic		1424003318			0	DEFAULT
Twentieth Century (Horrible Histories) by Deary, Terry		1027IWRNMMF	1080	14.66	1	2011-10-27 16:07:42 PDT		y	2		Book looks unused - clean pages and tight spine but has some edge wear. Fast Shipping! Ships within 24 hours! 100% Satisfaction Guaranteed!	2				0590542664			1	Domestic		0590542664			0	DEFAULT
